,,,,,,,,,,,,,
,,,,,,,,,,,,,
,cow_id,Pen (Lote),lactation,Days in Milk,milk production,age,Body Weight,Dry Matter Intake,Feed efficiency,NE,CP percentage,Data Controle ,Data Dieta
,2015,Z14 - Lote C,2,200,"40,6",1147,"620,1467305","27,9","1,6","0,88","8,51",2025-06-20,2025-07-11
,2016,Z19 - Lote D,1,323,"17,0",1147,"601,8771718","20,3","0,9","0,78","6,28",2025-06-20,2025-07-11
,2017,Z10 - Lote A,2,58,"71,0",1147,"638,8031335","37,9","2,1","0,95","10,01",2025-06-20,2025-07-11
,2018,Z13 - Lote N,1,336,"37,2",1147,"601,5987548","27,0","1,5","0,86","8,17",2025-05-25,2025-07-11
,2020,Z14 - Lote C,2,6,"43,0",1145,"608,0297287","21,6","2,2","1,17","11,47",2025-05-25,2025-07-11
,2021,Z13 - Lote N,1,369,"35,3",1145,"601,056771","26,4","1,5","0,85","8,04",2025-06-20,2025-07-11
,2022,Z13 - Lote N,1,409,"51,8",1143,"600,6330231","31,9","1,8","0,89","9,04",2025-06-20,2025-07-11
,2023,Z19 - Lote D,2,84,"35,0",1143,"639,734035","26,4","1,5","0,86","8,07",2025-06-20,2025-07-11
,2026,Z13 - Lote N,1,436,"29,6",1140,"600,4454339","24,5","1,3","0,83","7,59",2025-06-20,2025-07-11
,2028,Z10 - Lote A,2,82,"47,0",1138,"639,8362475","30,4","1,7","0,89","8,84",2025-06-20,2025-07-11
,2029,Z19 - Lote D,2,164,"36,9",1138,"626,6980647","26,8","1,5","0,87","8,23",2025-06-20,2025-07-11
,2031,Z14 - Lote C,2,52,"53,0",1136,"637,6864913","31,7","1,9","0,92","9,32",2025-06-20,2025-07-11
,2035,Z14 - Lote C,2,89,"38,6",1131,"639,3840545","27,6","1,6","0,87","8,32",2025-06-20,2025-07-11
,2038,Z13 - Lote N,1,387,"40,4",1128,"600,8402319","28,1","1,6","0,86","8,39",2025-06-20,2025-07-11
,2039,Z19 - Lote D,1,416,"41,0",1128,"600,5781216","28,3","1,6","0,87","8,43",2025-06-20,2025-07-11
,2042,Z14 - Lote C,2,53,"55,0",1126,"637,9024808","32,4","1,9","0,93","9,41",2025-06-20,2025-07-11
,2045,Z14 - Lote C,2,46,"50,0",1121,"636,1146782","31,0","1,8","0,91","9,11",2025-06-20,2025-07-11
,2048,Z19 - Lote D,1,304,"20,0",1119,"602,366588","21,3","1,0","0,79","6,64",2025-06-20,2025-07-11
,2049,Z13 - Lote N,1,407,"31,0",1118,"600,649611","24,9","1,4","0,84","7,71",2025-05-25,2025-07-11
,2052,Z14 - Lote C,2,76,"49,0",1115,"639,996475","31,0","1,8","0,90","8,96",2025-06-20,2025-07-11
,2054,Z11 - Lote B,2,66,"54,0",1113,"639,6878882","32,5","1,8","0,91","9,26",2025-06-20,2025-07-11
,2055,Z13 - Lote N,2,66,"33,4",1113,"639,6878882","25,7","1,4","0,86","8,00",2025-06-20,2025-07-11
,2056,Z19 - Lote D,1,359,"35,0",1112,"601,199122","26,3","1,5","0,85","8,01",2025-04-28,2025-07-11
,2061,Z19 - Lote D,1,344,"21,8",1100,"601,4472687","21,9","1,1","0,80","6,84",2025-05-25,2025-07-11
